"block_timestamp_date","total_txs","500_520_fee_per_byte","98_109_fee_per_byte","29_32_fee_per_byte","24_34_44_fee","317_453_fee","500_520_perc_fee_per_byte","98_109_perc_fee_per_byte","29_32_perc_fee_per_byte","24_34_44_perc_fee","317_453_perc_fee"
2023-02-07,14784,297,712,38,523,37,2.00892857142857,4.81601731601732,0.257034632034632,3.53760822510823,0.250270562770563
2023-02-08,14283,281,753,33,491,36,1.96737380102219,5.27200168031926,0.231043898340685,3.43765315409928,0.252047889098929
2023-02-09,14372,262,716,30,511,62,1.82298914556081,4.98190926802115,0.208739215140551,3.55552463122739,0.431394377957139
2023-02-10,13573,242,713,29,407,43,1.78295144772711,5.25307595962573,0.21365947100862,2.9986001620865,0.316805422530023
2023-02-11,12229,200,615,32,421,38,1.63545670128383,5.02902935644779,0.261673072205413,3.44263635620247,0.310736773243928
2023-02-12,12232,199,621,28,441,46,1.62688031393067,5.07684761281884,0.228907782864617,3.60529758011772,0.376062786134729
2023-02-13,15628,269,799,33,529,36,1.72126951625288,5.11261837727156,0.211159457384182,3.3849500895828,0.230355771691835
2023-02-14,14658,294,829,38,487,59,2.00573065902579,5.65561468140265,0.259244098785646,3.32241779233183,0.402510574430345
2023-02-15,15018,337,796,43,543,36,2.24397389798908,5.30030629910774,0.2863230789719,3.61566120655214,0.239712345185777
2023-02-16,15359,296,845,40,501,44,1.92720880265642,5.50166026434013,0.260433621980598,3.26193111530699,0.286476984178657
2023-02-17,14502,264,704,41,476,49,1.82043856019859,4.85450282719625,0.282719624879327,3.28230588884292,0.33788442973383
2023-02-18,12205,225,615,26,382,51,1.84350675952478,5.03891847603441,0.213027447767308,3.1298648095043,0.417861532158951
2023-02-19,12562,245,690,42,434,24,1.9503263811495,5.4927559305843,0.334341665339914,3.45486387517911,0.191052380194237
2023-02-20,15472,314,909,41,500,55,2.02947259565667,5.87512926577042,0.264994829369183,3.23164426059979,0.355480868665977
2023-02-21,14619,300,826,37,502,44,2.05212394828648,5.65018127094877,0.253095286955332,3.43388740679937,0.300978179082017
2023-02-22,14899,344,742,41,520,54,2.30887979058997,4.98020001342372,0.275186254111014,3.49016712531042,0.362440432243775
2023-02-23,13913,286,686,38,457,46,2.0556314238482,4.93064040825127,0.273125853518292,3.28469776468051,0.330626033206354
2023-02-24,13466,278,715,49,436,40,2.06445863656617,5.30966879548493,0.363879399970296,3.23778404871528,0.297044408139017
2023-02-25,11917,183,606,38,325,29,1.53562138122011,5.08517244272887,0.318872199379038,2.72719644205756,0.243349836368213
2023-02-26,12937,231,622,34,420,45,1.78557625415475,4.80791528175002,0.26281208935611,3.24650228028136,0.347839530030146
2023-02-27,16099,297,878,64,555,41,1.84483508292441,5.45375489160817,0.397540219889434,3.44741909435369,0.254674203366669
2023-02-28,16320,312,886,66,479,44,1.91176470588235,5.42892156862745,0.404411764705882,2.93504901960784,0.269607843137255
2023-03-01,16343,317,892,50,499,61,1.93966835954231,5.45799424830203,0.305941381631279,3.05329498868017,0.373248485590161
