"block_timestamp_isoweek","total_txs","500_520_fee_per_byte","98_109_fee_per_byte","29_32_fee_per_byte","24_34_44_fee","317_453_fee","500_520_perc_fee_per_byte","98_109_perc_fee_per_byte","29_32_perc_fee_per_byte","24_34_44_perc_fee","317_453_perc_fee"
"2023-14",110623,1745,5367,470,3487,359,1.57742964844562,4.85161313650868,0.424866438263291,3.15214738345552,0.324525641141535
"2023-15",114508,1812,5780,472,3447,330,1.5824221888427,5.04768225800817,0.412198274356377,3.01027002480176,0.288189471477975
"2023-16",114598,1807,5579,519,3247,351,1.57681634932547,4.86832230928987,0.452887484947381,2.83338278154942,0.306288067854587
"2023-17",132459,1856,5477,437,3383,364,1.40118829222627,4.13486437312678,0.329913407167501,2.55399784084132,0.27480201420817
"2023-18",184891,1941,5625,466,3479,387,1.04980772455122,3.04233305028368,0.252040391365724,1.8816491878999,0.209312513859517
"2023-19",163248,2145,7032,593,3745,381,1.31395177888856,4.30755660099971,0.363251004606488,2.29405566990101,0.233387239047339
"2023-20",153465,2261,6560,636,3558,357,1.47330010100023,4.27459029746196,0.414426742253934,2.31844394487342,0.232626331736878
"2023-21",142396,1989,6158,609,3652,344,1.39680889912638,4.32455967864266,0.427680552824518,2.56467878311189,0.241579819657856
"2023-22",138606,2100,6160,596,3832,362,1.51508592701615,4.4442520525807,0.429995815476964,2.76467108205994,0.261171955038021
"2023-23",134530,2130,6381,538,3992,352,1.58328997249684,4.74317995986025,0.39991080056493,2.9673678733368,0.261651676206051
"2023-24",125486,1992,6389,448,3931,332,1.58742807962641,5.09140461884194,0.357011937586663,3.13262037199369,0.264571346604402
"2023-25",152379,2177,6448,450,3726,371,1.42867455489273,4.2315542167884,0.295316283739885,2.44521882936625,0.243471869483328
"2023-26",152297,2226,6682,457,3884,454,1.46161776003467,4.38747972711216,0.300071570680972,2.55028004491224,0.298101735424861
"2023-27",136102,2131,6358,446,3925,381,1.56573746160968,4.67149637771671,0.327695404916901,2.8838665118808,0.279937105994034
"2023-28",137014,2054,6604,460,3826,391,1.49911687856715,4.8199454070387,0.335732114966354,2.79241537361146,0.285372297721401
"2023-29",133239,2102,6610,483,4069,336,1.57761616343563,4.96100991451452,0.362506473329881,3.05391064177906,0.252178416229482
"2023-30",131023,2126,6644,532,4115,322,1.62261587660182,5.07086542057501,0.406035581539119,3.14066995870954,0.245758378299993
"2023-31",134341,2222,6440,493,3928,437,1.65399989578759,4.79377107509993,0.36697657453793,2.92390260605474,0.325291608667495
"2023-32",126245,2345,6550,522,3664,505,1.85749930690324,5.18832429007089,0.413481722048398,2.90229316012515,0.400015842211573
"2023-33",120048,2085,6487,515,3875,434,1.73680527788884,5.4036718645875,0.428995068639211,3.22787551646008,0.361522057843529
"2023-34",118764,2225,6394,438,3640,444,1.87346333905897,5.38378633255869,0.368798625846216,3.06490182210097,0.373850661816712
"2023-35",132092,2155,6583,419,3931,516,1.63143869424341,4.98364776065167,0.317203161432941,2.97595615177301,0.390636828876843
"2023-36",128558,2136,6488,446,3805,376,1.66150686849515,5.04674932715195,0.346925123290655,2.9597535742622,0.29247499183248
"2023-37",129885,2106,6504,400,4005,391,1.62143434576741,5.00750664048966,0.307964738037495,3.08349693960042,0.301035531431651
"2023-38",127059,1868,6289,433,3641,378,1.47018314326415,4.94966905138558,0.340786563722365,2.86559787185481,0.297499586806129
"2023-39",136061,1997,6748,461,3922,397,1.46772403554288,4.95954020623103,0.338818618119814,2.88253062964406,0.291780892393853
"2023-40",146317,2034,6985,465,4013,442,1.39013238379682,4.77388136716855,0.317803126089245,2.74267515052933,0.302083831680529
"2023-41",139272,2146,6798,516,2833,386,1.54086966511574,4.88109598483543,0.370498018266414,2.03414900338905,0.277155494284565
"2023-42",44997,682,2351,145,583,135,1.51565659932884,5.22479276396204,0.322243705135898,1.29564193168433,0.300020001333422
